City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,San Quintin,MX,2020-04-20 04:32:03,30.48,-115.95,59.0,78,89,15.39,overcast clouds,0.0,0.0
1,Hithadhoo,MV,2020-04-20 04:32:04,-0.6,73.08,85.08,74,88,11.41,overcast clouds,0.0,0.0
2,Saskylakh,RU,2020-04-20 04:32:04,71.92,114.08,25.97,95,16,3.09,few clouds,0.0,0.0
3,Winnemucca,US,2020-04-20 04:32:04,40.97,-117.74,42.8,56,1,3.36,clear sky,0.0,0.0
4,Punta Arenas,CL,2020-04-20 04:32:05,-53.15,-70.92,42.8,75,40,28.86,scattered clouds,0.0,0.0
5,Olafsvik,IS,2020-04-20 04:32:05,64.89,-23.71,44.2,91,100,16.51,overcast clouds,0.0,0.0
6,Port Elizabeth,ZA,2020-04-20 04:32:05,-33.92,25.57,69.8,49,0,12.75,clear sky,0.0,0.0
7,Bubaque,GW,2020-04-20 04:32:05,11.28,-15.83,77.09,68,34,12.24,scattered clouds,0.0,0.0
8,Mantua,IT,2020-04-20 04:32:06,45.17,10.78,57.99,77,100,7.0,light rain,0.64,0.0
9,Ushuaia,AR,2020-04-20 04:31:44,-54.8,-68.3,39.2,86,90,25.28,shower rain,0.0,0.0
10,Kapaa,US,2020-04-20 04:32:06,22.08,-159.32,78.8,65,75,10.29,broken clouds,0.0,0.0
11,Nador,MA,2020-04-20 04:32:07,35.17,-2.93,62.6,67,0,17.22,clear sky,0.0,0.0
12,Busselton,AU,2020-04-20 04:30:02,-33.65,115.33,68.0,69,97,5.99,light rain,0.3,0.0
13,Dikson,RU,2020-04-20 04:32:07,73.51,80.55,33.03,96,93,14.9,overcast clouds,0.0,0.0
14,Hualmay,PE,2020-04-20 04:27:59,-11.1,-77.61,70.05,78,6,7.16,clear sky,0.0,0.0
15,Betafo,MG,2020-04-20 04:32:08,-19.83,46.85,62.67,50,24,7.11,few clouds,0.0,0.0
16,Bluff,NZ,2020-04-20 04:32:08,-46.6,168.33,55.99,74,63,7.0,light rain,0.38,0.0
17,Tuktoyaktuk,CA,2020-04-20 04:32:08,69.45,-133.04,8.6,84,90,4.7,light snow,0.0,0.0
18,Tautira,PF,2020-04-20 04:32:09,-17.73,-149.15,86.0,62,47,2.24,scattered clouds,0.0,0.0
19,East London,ZA,2020-04-20 04:32:09,-33.02,27.91,84.2,45,0,11.41,clear sky,0.0,0.0
20,Bambous Virieux,MU,2020-04-20 04:32:09,-20.34,57.76,75.2,88,40,11.41,shower rain,0.0,0.0
21,Qaanaaq,GL,2020-04-20 04:32:10,77.48,-69.36,14.59,82,62,10.51,broken clouds,0.0,0.0
22,Castro,BR,2020-04-20 04:31:53,-24.79,-50.01,55.0,69,66,5.17,broken clouds,0.0,0.0
23,Kavieng,PG,2020-04-20 04:32:10,-2.57,150.8,84.74,71,57,5.41,light rain,0.65,0.0
24,Nandyal,IN,2020-04-20 04:32:11,15.48,78.48,102.58,19,1,9.89,clear sky,0.0,0.0
25,Bredasdorp,ZA,2020-04-20 04:32:11,-34.53,20.04,57.2,87,0,2.24,clear sky,0.0,0.0
26,Avarua,CK,2020-04-20 04:32:11,-21.21,-159.78,80.6,74,4,9.17,clear sky,0.0,0.0
27,Hermanus,ZA,2020-04-20 04:32:12,-34.42,19.23,60.01,78,11,11.99,few clouds,0.0,0.0
28,Codrington,AU,2020-04-20 04:32:12,-38.27,141.97,59.16,57,39,18.9,scattered clouds,0.0,0.0
29,Ilulissat,GL,2020-04-20 04:32:12,69.22,-51.1,24.8,58,100,29.97,light shower snow,0.0,0.0
30,Jiwani,PK,2020-04-20 04:32:13,25.05,61.74,83.35,64,5,6.49,clear sky,0.0,0.0
31,New Norfolk,AU,2020-04-20 04:31:00,-42.78,147.06,62.01,74,61,5.99,light rain,0.29,0.0
32,Clyde River,CA,2020-04-20 04:32:13,70.47,-68.59,-11.2,69,1,4.7,clear sky,0.0,0.0
33,Jamestown,US,2020-04-20 04:29:44,42.1,-79.24,39.0,74,90,10.29,overcast clouds,0.0,0.0
34,Port Alfred,ZA,2020-04-20 04:32:14,-33.59,26.89,69.01,64,0,4.61,clear sky,0.0,0.0
35,Vaini,TO,2020-04-20 04:32:14,-21.2,-175.2,82.4,74,75,8.05,broken clouds,0.0,0.0
36,Esperance,AU,2020-04-20 04:32:14,-33.87,121.9,68.0,49,40,19.46,scattered clouds,0.0,0.0
37,Hobart,AU,2020-04-20 04:32:15,-42.88,147.33,62.01,51,75,28.86,light intensity shower rain,0.0,0.0
38,Tiksi,RU,2020-04-20 04:32:15,71.69,128.87,21.16,94,100,6.73,overcast clouds,0.0,0.0
39,Cape Town,ZA,2020-04-20 04:32:15,-33.93,18.42,63.0,77,75,14.99,broken clouds,0.0,0.0
40,Hilo,US,2020-04-20 04:32:14,19.73,-155.09,75.2,64,40,5.82,scattered clouds,0.0,0.0
41,Bandarbeyla,SO,2020-04-20 04:32:16,9.49,50.81,83.8,65,72,2.57,broken clouds,0.0,0.0
42,Santa Rosa,PH,2020-04-20 04:32:16,14.31,121.11,95.0,53,20,9.17,few clouds,0.0,0.0
43,Hammerfest,NO,2020-04-20 04:32:17,70.66,23.68,39.2,76,40,41.38,scattered clouds,0.0,0.0
44,Jutai,BR,2020-04-20 04:32:17,-5.18,-68.9,71.26,77,8,0.72,clear sky,0.0,0.0
45,Georgetown,MY,2020-04-20 04:30:20,5.41,100.34,93.2,74,20,5.82,few clouds,0.0,0.0
46,Pangai,TO,2020-04-20 04:32:17,-19.8,-174.35,82.4,78,20,11.41,few clouds,0.0,0.0
47,Meulaboh,ID,2020-04-20 04:32:17,4.14,96.13,88.2,62,9,4.36,light rain,0.21,0.0
48,Chuy,UY,2020-04-20 04:32:18,-33.7,-53.46,63.68,85,0,9.28,clear sky,0.0,0.0
49,Sitka,US,2020-04-20 04:32:18,57.05,-135.33,44.6,81,90,3.36,overcast clouds,0.0,0.0
50,Upernavik,GL,2020-04-20 04:32:18,72.79,-56.15,17.92,95,46,18.54,light snow,0.0,0.4
51,Macklin,CA,2020-04-20 04:32:18,52.33,-109.93,38.32,73,48,9.37,scattered clouds,0.0,0.0
52,Grants,US,2020-04-20 04:32:19,35.15,-107.85,46.4,36,1,10.29,clear sky,0.0,0.0
53,Neiafu,TO,2020-04-20 04:32:19,-18.65,-173.98,84.2,70,20,8.05,few clouds,0.0,0.0
54,Gamba,GA,2020-04-20 04:32:19,-2.65,10.0,76.95,87,100,4.68,light rain,2.19,0.0
55,Walvis Bay,NA,2020-04-20 04:27:51,-22.96,14.51,59.0,87,91,13.87,overcast clouds,0.0,0.0
56,Talnakh,RU,2020-04-20 04:30:11,69.49,88.4,37.4,69,100,29.08,overcast clouds,0.0,0.0
57,Kununurra,AU,2020-04-20 04:32:20,-15.77,128.73,98.6,29,14,8.05,few clouds,0.0,0.0
58,Rawson,AR,2020-04-20 04:32:21,-43.3,-65.1,57.31,44,48,27.11,scattered clouds,0.0,0.0
59,Rikitea,PF,2020-04-20 04:30:47,-23.12,-134.97,76.8,71,61,6.62,broken clouds,0.0,0.0
60,Katsuura,JP,2020-04-20 04:27:58,35.13,140.3,60.26,85,100,17.4,light rain,2.93,0.0
61,Mataura,NZ,2020-04-20 04:32:22,-46.19,168.86,55.99,74,66,7.0,broken clouds,0.0,0.0
62,Ajjampur,IN,2020-04-20 04:32:22,13.73,76.01,94.12,20,0,8.68,clear sky,0.0,0.0
63,Meadow Lake,US,2020-04-20 04:32:22,34.8,-106.54,60.8,21,75,8.05,broken clouds,0.0,0.0
64,Lipari,IT,2020-04-20 04:32:23,38.47,14.95,66.99,80,100,3.0,light rain,0.19,0.0
65,Airai,TL,2020-04-20 04:32:23,-8.93,125.41,72.64,47,30,3.29,scattered clouds,0.0,0.0
66,Hasaki,JP,2020-04-20 04:32:23,35.73,140.83,52.0,93,75,6.93,light intensity shower rain,0.0,0.0
67,Concarneau,FR,2020-04-20 04:32:23,47.88,-3.92,52.0,93,100,6.93,light intensity drizzle rain,0.0,0.0
68,Constitucion,CL,2020-04-20 04:32:23,-35.33,-72.42,56.05,67,93,8.37,overcast clouds,0.0,0.0
69,Williston,US,2020-04-20 04:32:24,48.15,-103.62,46.0,55,1,6.93,clear sky,0.0,0.0
70,Port-Cartier,CA,2020-04-20 04:32:24,50.03,-66.87,30.99,86,90,9.17,overcast clouds,0.0,0.0
71,Copiapo,CL,2020-04-20 04:32:24,-27.37,-70.33,60.8,82,0,3.36,clear sky,0.0,0.0
72,Keflavik,IS,2020-04-20 04:32:25,64.0,-22.56,46.4,100,90,26.4,light rain,0.0,0.0
73,Port Hueneme,US,2020-04-20 04:32:25,34.15,-119.2,57.99,82,90,12.75,overcast clouds,0.0,0.0
74,Fortuna,US,2020-04-20 04:32:25,40.6,-124.16,52.0,87,90,6.93,overcast clouds,0.0,0.0
75,Carson City,US,2020-04-20 04:32:25,39.16,-119.77,51.8,32,40,3.6,scattered clouds,0.0,0.0
76,Faanui,PF,2020-04-20 04:32:25,-16.48,-151.75,82.96,76,89,21.74,light rain,0.24,0.0
77,Arraial Do Cabo,BR,2020-04-20 04:32:26,-22.97,-42.03,70.61,81,46,7.05,scattered clouds,0.0,0.0
78,Huilong,CN,2020-04-20 04:32:26,31.81,121.66,65.66,63,29,2.37,scattered clouds,0.0,0.0
79,Luderitz,NA,2020-04-20 04:32:26,-26.65,15.16,59.0,87,40,3.36,scattered clouds,0.0,0.0
80,Albany,US,2020-04-20 04:32:02,42.6,-73.97,50.0,61,96,5.01,light rain,0.3,0.0
81,Palmer,US,2020-04-20 04:32:27,42.16,-72.33,48.0,75,90,5.82,overcast clouds,0.0,0.0
82,Brae,GB,2020-04-20 04:32:27,60.4,-1.35,42.8,86,0,12.75,clear sky,0.0,0.0
83,Ust-Omchug,RU,2020-04-20 04:32:11,61.15,149.63,10.74,82,100,9.78,overcast clouds,0.0,0.0
84,Naze,JP,2020-04-20 04:32:27,28.37,129.48,73.4,64,40,12.75,scattered clouds,0.0,0.0
85,Khandyga,RU,2020-04-20 04:32:28,62.67,135.6,22.59,84,12,3.44,few clouds,0.0,0.0
86,Atuona,PF,2020-04-20 04:32:28,-9.8,-139.03,82.62,76,71,15.99,light rain,0.21,0.0
87,Poum,NC,2020-04-20 04:32:30,-20.23,164.02,80.01,81,95,14.05,light rain,0.7,0.0
88,Butaritari,KI,2020-04-20 04:32:30,3.07,172.79,84.07,70,16,7.16,few clouds,0.0,0.0
89,Luanda,AO,2020-04-20 04:29:45,-8.84,13.23,78.8,94,75,2.24,broken clouds,0.0,0.0
90,Nikolskoye,RU,2020-04-20 04:32:30,59.7,30.79,37.4,79,20,4.47,few clouds,0.0,0.0
91,Puerto Ayora,EC,2020-04-20 04:31:06,-0.74,-90.35,80.01,87,65,7.0,broken clouds,0.0,0.0
92,Cachoeira Do Sul,BR,2020-04-20 04:32:31,-30.04,-52.89,57.0,92,0,3.85,clear sky,0.0,0.0
93,Coronado,US,2020-04-20 04:29:35,32.69,-117.18,62.6,72,90,9.17,overcast clouds,0.0,0.0
94,Mar Del Plata,AR,2020-04-20 04:29:35,-38.0,-57.56,62.01,93,98,4.92,overcast clouds,0.0,0.0
95,Saint-Philippe,RE,2020-04-20 04:32:31,-21.36,55.77,78.01,73,40,16.11,scattered clouds,0.0,0.0
96,Saurimo,AO,2020-04-20 04:32:32,-9.66,20.39,66.27,67,53,5.32,broken clouds,0.0,0.0
97,Lompoc,US,2020-04-20 04:32:32,34.64,-120.46,53.6,76,1,3.36,clear sky,0.0,0.0
98,Barcelos,PT,2020-04-20 04:32:32,41.54,-8.62,53.6,93,75,4.7,broken clouds,0.0,0.0
99,Wilmington Island,US,2020-04-20 04:32:05,32.0,-80.97,66.0,93,90,8.75,heavy intensity rain,0.0,0.0
100,Bathsheba,BB,2020-04-20 04:32:33,13.22,-59.52,78.8,74,20,14.99,few clouds,0.0,0.0
101,Jalu,LY,2020-04-20 04:32:33,29.03,21.55,74.39,22,83,14.92,broken clouds,0.0,0.0
102,Waipawa,NZ,2020-04-20 04:32:33,-41.41,175.52,57.99,72,90,7.0,overcast clouds,0.0,0.0
103,Tasiilaq,GL,2020-04-20 04:32:34,65.61,-37.64,32.0,85,100,6.93,overcast clouds,0.0,0.0
104,Sisimiut,GL,2020-04-20 04:27:59,66.94,-53.67,25.88,89,90,18.84,overcast clouds,0.0,0.0
105,Souillac,MU,2020-04-20 04:29:44,-20.52,57.52,75.2,88,40,11.41,shower rain,0.0,0.0
106,Ambilobe,MG,2020-04-20 04:32:34,-13.2,49.05,82.26,65,82,5.35,broken clouds,0.0,0.0
107,Carnarvon,AU,2020-04-20 04:31:41,-24.87,113.63,78.8,61,30,19.46,scattered clouds,0.0,0.0
108,Kloulklubed,PW,2020-04-20 04:32:35,7.04,134.26,87.8,66,75,13.87,broken clouds,0.0,0.0
109,Samana,DO,2020-04-20 04:32:35,19.21,-69.34,74.08,87,3,7.85,clear sky,0.0,0.0
110,Chokurdakh,RU,2020-04-20 04:32:35,70.63,147.92,12.06,95,96,10.31,overcast clouds,0.0,0.0
111,Mana,GF,2020-04-20 04:32:35,5.66,-53.78,76.69,90,100,9.55,moderate rain,3.62,0.0
112,Comodoro Rivadavia,AR,2020-04-20 04:32:36,-45.87,-67.5,50.0,57,0,18.34,clear sky,0.0,0.0
113,Dabat,ET,2020-04-20 04:32:36,12.98,37.77,66.24,14,99,1.97,overcast clouds,0.0,0.0
114,Birjand,IR,2020-04-20 04:29:00,32.87,59.22,60.8,51,23,4.7,few clouds,0.0,0.0
115,Escanaba,US,2020-04-20 04:30:33,45.75,-87.06,36.0,59,1,9.17,clear sky,0.0,0.0
116,Pangnirtung,CA,2020-04-20 04:32:37,66.15,-65.71,3.43,76,59,4.36,broken clouds,0.0,0.0
117,Cidreira,BR,2020-04-20 04:28:09,-30.18,-50.21,66.7,86,0,15.21,clear sky,0.0,0.0
118,Los Llanos De Aridane,ES,2020-04-20 04:32:37,28.66,-17.92,62.6,67,8,5.82,clear sky,0.0,0.0
119,Ixtapa,MX,2020-04-20 04:32:37,20.7,-105.2,73.4,83,20,3.36,few clouds,0.0,0.0
120,Narsaq,GL,2020-04-20 04:32:38,60.92,-46.05,23.0,49,1,7.67,clear sky,0.0,0.0
121,Dunedin,NZ,2020-04-20 04:31:31,-45.87,170.5,60.01,44,81,1.01,broken clouds,0.0,0.0
122,Huarmey,PE,2020-04-20 04:32:38,-10.07,-78.15,71.37,76,4,5.68,clear sky,0.0,0.0
123,Port Hardy,CA,2020-04-20 04:32:39,50.7,-127.42,50.0,81,75,8.05,broken clouds,0.0,0.0
124,Zhezkazgan,KZ,2020-04-20 04:32:39,47.8,67.71,64.4,31,75,8.95,broken clouds,0.0,0.0
125,Carutapera,BR,2020-04-20 04:32:39,-1.2,-46.02,78.91,86,46,6.4,scattered clouds,0.0,0.0
126,Severo-Kurilsk,RU,2020-04-20 04:32:40,50.68,156.12,32.2,89,46,9.78,scattered clouds,0.0,0.0
127,Longyearbyen,SJ,2020-04-20 04:32:40,78.22,15.64,23.0,85,75,29.97,shower rain,0.0,0.0
128,Ostrovnoy,RU,2020-04-20 04:32:40,68.05,39.51,34.3,91,72,9.78,broken clouds,0.0,0.0
129,Mayo,US,2020-04-20 04:32:40,38.89,-76.51,55.0,87,1,3.36,clear sky,0.0,0.0
130,Puerto Del Rosario,ES,2020-04-20 04:32:41,28.5,-13.86,62.6,72,59,9.17,broken clouds,0.0,0.0
131,Klyuchi,RU,2020-04-20 04:32:41,52.27,79.17,72.27,22,1,5.1,clear sky,0.0,0.0
132,Tiznit,MA,2020-04-20 04:32:41,29.58,-9.5,53.62,74,77,8.05,broken clouds,0.0,0.0
133,Karakol,KG,2020-04-20 04:32:42,42.49,78.39,57.56,17,22,4.68,few clouds,0.0,0.0
134,Mananjary,MG,2020-04-20 04:32:42,-21.22,48.33,77.54,75,49,6.8,light rain,0.65,0.0
135,Gravdal,NO,2020-04-20 04:32:42,68.12,13.5,42.8,93,75,12.75,broken clouds,0.0,0.0
136,Trelew,AR,2020-04-20 04:32:42,-43.25,-65.31,56.64,41,43,25.19,scattered clouds,0.0,0.0
137,Nelson Bay,AU,2020-04-20 04:32:43,-32.72,152.15,73.0,37,99,14.99,overcast clouds,0.0,0.0
138,Alekseyevsk,RU,2020-04-20 04:32:43,57.84,108.35,34.43,65,61,7.18,broken clouds,0.0,0.0
139,Oranjemund,NA,2020-04-20 04:32:43,-28.55,16.43,59.95,86,17,2.48,few clouds,0.0,0.0
140,Maniitsoq,GL,2020-04-20 04:32:43,65.42,-52.9,26.53,88,100,22.79,light snow,0.0,0.12
141,Khategaon,IN,2020-04-20 04:32:44,22.6,76.92,102.06,11,63,14.41,broken clouds,0.0,0.0
142,Bethel,US,2020-04-20 04:32:44,41.37,-73.41,53.6,40,90,8.05,overcast clouds,0.0,0.0
143,Ostashkov,RU,2020-04-20 04:32:44,57.15,33.11,37.44,73,72,6.82,broken clouds,0.0,0.0
144,Rabo De Peixe,PT,2020-04-20 04:32:45,37.8,-25.58,53.6,66,20,9.17,few clouds,0.0,0.0
145,Ilo,PE,2020-04-20 04:32:46,-17.64,-71.34,68.14,76,11,2.01,few clouds,0.0,0.0
146,Sao Joao Da Barra,BR,2020-04-20 04:32:46,-21.64,-41.05,68.49,84,97,8.3,overcast clouds,0.0,0.0
147,Christchurch,NZ,2020-04-20 04:32:47,-43.53,172.63,64.0,44,41,4.7,scattered clouds,0.0,0.0
148,Ayni,TJ,2020-04-20 04:32:47,39.39,68.54,57.92,20,9,1.66,clear sky,0.0,0.0
149,Kodiak,US,2020-04-20 04:32:47,57.79,-152.41,44.6,81,90,13.87,overcast clouds,0.0,0.0
150,Verkh-Usugli,RU,2020-04-20 04:32:48,52.7,115.17,28.58,50,100,13.65,overcast clouds,0.0,0.0
151,Voh,NC,2020-04-20 04:32:48,-20.97,164.7,78.78,84,100,9.95,light rain,1.17,0.0
152,Morganton,US,2020-04-20 04:32:48,35.75,-81.68,52.0,87,90,1.86,overcast clouds,0.0,0.0
153,Honningsvag,NO,2020-04-20 04:32:48,70.98,25.97,39.2,74,40,21.92,scattered clouds,0.0,0.0
154,Turukhansk,RU,2020-04-20 04:32:49,65.82,87.98,42.01,63,100,20.36,overcast clouds,0.0,0.0
155,Sandwick,GB,2020-04-20 04:32:49,60.0,-1.25,42.8,81,0,5.82,clear sky,0.0,0.0
156,Assiniboia,CA,2020-04-20 04:32:49,49.63,-105.98,39.76,62,77,6.24,broken clouds,0.0,0.0
157,Nepomuceno,BR,2020-04-20 04:32:50,-21.24,-45.24,57.85,73,63,3.62,broken clouds,0.0,0.0
158,Akyab,MM,2020-04-20 04:32:50,20.15,92.9,89.47,53,6,10.42,clear sky,0.0,0.0
159,Vao,NC,2020-04-20 04:32:50,-22.67,167.48,71.26,92,100,22.75,heavy intensity rain,40.82,0.0
160,Joshimath,IN,2020-04-20 04:32:51,30.57,79.57,62.98,15,15,5.41,few clouds,0.0,0.0
161,Laguna,US,2020-04-20 04:32:51,38.42,-121.42,60.01,67,1,5.82,clear sky,0.0,0.0
162,Adrar,MR,2020-04-20 04:32:51,20.5,-10.07,69.93,21,0,9.15,clear sky,0.0,0.0
163,Beringovskiy,RU,2020-04-20 04:32:51,63.05,179.32,19.81,96,100,15.03,light snow,0.0,0.46
164,Saint Anthony,US,2020-04-20 04:32:52,45.02,-93.22,42.8,47,1,8.39,clear sky,0.0,0.0
165,Lasa,IT,2020-04-20 04:32:25,46.62,10.7,51.4,51,100,3.8,light rain,0.18,0.0
166,Sambava,MG,2020-04-20 04:32:56,-14.27,50.17,81.39,68,100,6.98,light rain,0.53,0.0
167,Tuy Hoa,VN,2020-04-20 04:32:56,13.08,109.3,88.25,55,33,8.59,scattered clouds,0.0,0.0
168,Olinda,BR,2020-04-20 04:32:57,-8.01,-34.86,78.8,88,75,3.36,broken clouds,0.0,0.0
169,Umm Lajj,SA,2020-04-20 04:31:57,25.02,37.27,79.92,36,0,4.0,clear sky,0.0,0.0
170,Kaitangata,NZ,2020-04-20 04:32:58,-46.28,169.85,61.0,44,74,7.0,broken clouds,0.0,0.0
171,Kahului,US,2020-04-20 04:32:15,20.89,-156.47,78.8,57,75,6.93,broken clouds,0.0,0.0
172,Mabaruma,GY,2020-04-20 04:32:58,8.2,-59.78,75.15,89,74,5.1,broken clouds,0.0,0.0
173,Minab,IR,2020-04-20 04:32:59,27.15,57.08,80.6,65,20,4.7,few clouds,0.0,0.0
174,Chiredzi,ZW,2020-04-20 04:32:59,-21.05,31.67,67.46,66,14,3.11,few clouds,0.0,0.0
175,Iisaku,EE,2020-04-20 04:32:59,59.1,27.31,39.97,76,57,7.54,broken clouds,0.0,0.0
176,Kailua,US,2020-04-20 04:28:22,21.4,-157.74,82.4,54,75,5.82,broken clouds,0.0,0.0
177,Colombia,CU,2020-04-20 04:33:00,20.99,-77.43,74.41,81,19,4.97,light rain,0.23,0.0
178,George Town,MY,2020-04-20 04:33:00,5.41,100.34,93.2,74,20,5.82,few clouds,0.0,0.0
179,Praia Da Vitoria,PT,2020-04-20 04:33:00,38.73,-27.07,55.4,76,40,10.07,scattered clouds,0.0,0.0
180,Muravlenko,RU,2020-04-20 04:33:01,63.79,74.52,42.46,67,0,15.68,clear sky,0.0,0.0
181,Hofn,IS,2020-04-20 04:33:01,64.25,-15.21,44.64,87,93,7.81,overcast clouds,0.0,0.0
182,Zarubino,RU,2020-04-20 04:33:01,42.63,131.09,39.69,94,100,8.55,light rain,0.9,0.0
